OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
9898,1064255,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2013,41.953605,-87.7672237,M,White,Police Officer,46
1548,1064255,Illegal Search,Improper Search Of Person,No Affidavit,No Action Taken,2013,41.953605,-87.7672237,M,White,Police Officer,51
16700,1065425,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.953838,-87.680267,M,Hispanic,Police Officer,58
29031,1065425,Use Of Force, Injury,Unfounded,No Action Taken,2013,41.953838,-87.680267,M,Hispanic,Police Officer,48
1859,1087904,Illegal Search,Improper Search Of Vehicle,Unfounded,Unknown,2017,41.953857,-87.7165802,M,Hispanic,Police Officer,36
32357,1070865,Use Of Force, Use Of Firearm / On Duty ,Not Sustained,No Action Taken,2014,41.9538855,-87.6805146,M,White,Po,45
32348,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,M,Hispanic,Po,54
32091,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,M,White,Po,50
32152,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,M,White,Sergeant Of Police,54
32276,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,F,Hispanic,Police Officer,49
32081,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,M,Black,Po,49
32203,1081020,Illegal Search,Search Of Premise Without Warrant,No Affidavit,No Action Taken,2016,41.9541556,-87.6685722,M,Hispanic,Po,56
9027,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Sergeant Of Police,56
9562,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,Hispanic,Police Officer,44
23421,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,Hispanic,Police Officer,37
