Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
8417,1975,13.97,46.43,0,0,39.59,Majority Black,276,917,0,0,782
8418,2774,0.72,95.24,0,0,4.04,Majority Black,20,2642,0,0,112
8419,7042,51.02,16.03,0,20.22,12.72,Majority White,3593,1129,0,1424,896
8420,3217,39.48,33.14,0,19.52,7.86,Majority White,1270,1066,0,628,253
8421,8609,13.8,40.74,0,0.35,45.12,Majority Latino,1188,3507,0,30,3884
8422,3298,62.98,14.8,0,7.91,14.31,Majority White,2077,488,0,261,472
8423,3267,76.65,10.04,0,6.31,7.01,Majority White,2504,328,0,206,229
8424,3090,0.19,99.61,0,0,0.19,Majority Black,6,3078,0,0,6
8425,2008,0.2,99.75,0,0,0.05,Majority Black,4,2003,0,0,1
8426,4760,56.83,4.75,1.74,7.96,28.72,Majority White,2705,226,83,379,1367
8428,10736,33.09,0.94,0.34,3.74,61.89,Majority Latino,3553,101,36,401,6645
8429,2175,19.59,65.38,0.64,3.95,10.44,Majority Black,426,1422,14,86,227
8430,2635,0,98.25,0,0,1.75,Majority Black,0,2589,0,0,46
8431,1715,9.27,88.69,0,0,2.04,Majority Black,159,1521,0,0,35
8432,3073,40.38,2.83,0,1.11,55.68,Majority Latino,1241,87,0,34,1711
8433,2720,27.65,43.53,0,0.63,28.2,Majority Black,752,1184,0,17,767
8434,1292,13.16,66.33,0,1.08,19.43,Majority Black,170,857,0,14,251
8435,11994,22.65,56.63,0.07,0.38,20.27,Majority Black,2717,6792,8,46,2431
8436,2858,5.81,89.29,0,0.84,4.06,Majority Black,166,2552,0,24,116
8437,3037,71.06,1.84,0,4.71,22.39,Majority White,2158,56,0,143,680
8438,2053,30.83,40.33,0,8.91,19.92,Majority Black,633,828,0,183,409
8439,3293,4.28,88.31,0,4.13,3.28,Majority Black,141,2908,0,136,108
